,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"fc2_weight[0, 15]",0.069,0.264,-0.382,0.384,0.125,0.095,6.0,29.0,1.96
"fc2_weight[0, 16]",0.171,0.279,-0.285,0.596,0.131,0.099,5.0,30.0,2.37
"fc2_weight[0, 17]",-0.004,0.24,-0.43,0.273,0.113,0.086,5.0,30.0,2.17
"fc2_weight[0, 18]",-0.068,0.339,-0.582,0.454,0.164,0.125,5.0,38.0,2.43
"fc2_weight[0, 19]",0.208,0.532,-0.887,0.818,0.255,0.194,6.0,28.0,1.76
"fc2_weight[0, 20]",-0.092,0.398,-0.78,0.533,0.193,0.147,5.0,26.0,2.49
"fc2_weight[0, 21]",-0.022,0.378,-0.852,0.403,0.182,0.138,6.0,26.0,1.96
"fc2_weight[0, 22]",0.241,0.332,-0.341,0.672,0.162,0.124,5.0,25.0,2.23
"fc2_weight[0, 23]",0.015,0.414,-0.499,0.593,0.204,0.156,5.0,13.0,2.28
"fc2_weight[0, 24]",0.004,0.503,-0.576,1.01,0.247,0.189,5.0,14.0,2.57
"fc2_weight[0, 25]",-0.193,0.439,-1.005,0.496,0.209,0.158,5.0,26.0,2.44
"fc2_weight[0, 26]",-0.005,0.334,-0.534,0.511,0.163,0.124,5.0,29.0,2.83
"fc2_weight[0, 27]",0.042,0.36,-0.396,0.611,0.175,0.133,5.0,29.0,2.28
fc2_weight_precision,3.505,1.659,1.135,6.764,0.64,0.474,7.0,30.0,1.51
noise_precision,25.885,1.156,23.773,28.104,0.334,0.242,12.0,38.0,1.24
